"rush_td","rush_yds","game_result","gs","pass_sacked_yds","pass_rating","playerName","pass_cmp_perc","pass_int","ranker","pass_sacked","pass_cmp","opp","age","game_num","pass_adj_yds_per_att","game_location","pass_yds","pass_att","rush_att","game_date","pass_td","rush_yds_per_att","pass_yds_per_att","team"
"0","-2","W 33-28","*","16","103.6","Philip Rivers","82.93","2","1","2","34","DET","33-279","1","8.61","","403","41","2","2015-09-13","2","-1.00","9.83","SDG"
"0","5","L 19-24","*","18","113.1","Philip Rivers","77.78","1","2","4","21","CIN","33-286","2","8.74","@","241","27","1","2015-09-20","2","5.00","8.93","SDG"
"0","0","L 14-31","*","30","81.2","Philip Rivers","61.76","1","3","4","21","MIN","33-293","3","6.50","@","246","34","0","2015-09-27","1","","7.24","SDG"
"0","-1","W 30-27","*","11","118.1","Philip Rivers","60.53","0","4","2","23","CLE","33-300","4","11.00","","358","38","1","2015-10-04","3","-1.00","9.42","SDG"
"0","0","L 20-24","*","11","99.7","Philip Rivers","72.92","1","5","2","35","PIT","33-308","5","7.50","","365","48","0","2015-10-12","2","","7.60","SDG"
"0","0","L 20-27","*","15","99.7","Philip Rivers","66.15","0","6","3","43","GNB","33-314","6","8.35","@","503","65","0","2015-10-18","2","","7.74","SDG"
"0","0","L 29-37","*","9","83.7","Philip Rivers","65.52","2","7","1","38","OAK","33-321","7","5.28","","336","58","0","2015-10-25","3","","5.79","SDG"
"0","0","L 26-29","*","11","126.1","Philip Rivers","75.68","0","8","1","28","BAL","33-328","8","9.76","@","301","37","1","2015-11-01","3","0.00","8.14","SDG"
"0","0","L 19-22","*","18","89.4","Philip Rivers","61.90","0","9","2","26","CHI","33-336","9","7.14","","280","42","0","2015-11-09","1","","6.67","SDG"
"0","8","L 3-33","*","29","65.7","Philip Rivers","63.33","1","10","3","19","KAN","33-349","10","4.43","","178","30","4","2015-11-22","0","2.00","5.93","SDG"
"0","9","W 31-25","*","10","118.4","Philip Rivers","67.44","0","11","2","29","JAX","33-356","11","8.84","@","300","43","5","2015-11-29","4","1.80","6.98","SDG"
"0","0","L 3-17","*","23","57.1","Philip Rivers","51.43","1","12","4","18","DEN","33-363","12","4.49","","202","35","0","2015-12-06","0","","5.77","SDG"
"0","4","L 3-10","*","27","64.4","Philip Rivers","55.81","1","13","5","24","KAN","34-005","13","5.07","@","263","43","1","2015-12-13","0","4.00","6.12","SDG"
"0","0","W 30-14","*","9","102.9","Philip Rivers","72.22","2","14","1","26","MIA","34-012","14","7.81","","311","36","0","2015-12-20","3","","8.64","SDG"
"0","0","L 20-23","*","6","85.2","Philip Rivers","63.27","0","15","1","31","OAK","34-016","15","6.06","@","277","49","0","2015-12-24","1","","5.65","SDG"
"0","5","L 20-27","*","21","86.4","Philip Rivers","60.00","1","16","3","21","DEN","34-026","16","6.37","@","228","35","2","2016-01-03","2","2.50","6.51","SDG"
