"rush_td","rush_yds","game_result","gs","pass_sacked_yds","pass_rating","playerName","pass_cmp_perc","pass_int","ranker","pass_sacked","pass_cmp","scoring","opp","age","game_num","pass_adj_yds_per_att","game_location","pass_yds","pass_att","rush_att","game_date","all_td","pass_td","rush_yds_per_att","pass_yds_per_att","team"
"0","5","L 34-35","*","4","131.3","Drew Brees","66.67","0","1","1","28","0","OAK","37-240","1","11.98","","423","42","2","2016-09-11","0","4","2.50","10.07","NOR"
"0","0","L 13-16","*","16","89.5","Drew Brees","65.91","0","2","2","29","0","NYG","37-247","2","6.43","@","263","44","0","2016-09-18","0","1","","5.98","NOR"
"0","9","L 32-45","*","17","97.5","Drew Brees","66.67","1","3","2","36","0","ATL","37-255","3","7.24","","376","54","2","2016-09-26","0","3","4.50","6.96","NOR"
"0","-4","W 35-34","*","15","74.7","Drew Brees","63.89","2","4","2","23","0","SDG","37-261","4","4.36","@","207","36","4","2016-10-02","0","2","-1.00","5.75","NOR"
"0","0","W 41-38","*","5","118.2","Drew Brees","69.39","1","5","1","34","0","CAR","37-275","5","10.20","","465","49","0","2016-10-16","0","4","","9.49","NOR"
"0","0","L 21-27","*","8","110.3","Drew Brees","77.08","1","6","1","37","0","KAN","37-282","6","7.96","@","367","48","0","2016-10-23","0","3","","7.65","NOR"
"1","1","W 25-20","*","13","107.4","Drew Brees","77.14","0","7","2","27","6","SEA","37-289","7","8.14","","265","35","1","2016-10-30","1","1","1.00","7.57","NOR"
"0","-2","W 41-23","*","0","122.1","Drew Brees","71.79","0","8","1","28","0","SFO","37-296","8","9.82","@","323","39","2","2016-11-06","0","3","-1.00","8.28","NOR"
"0","9","L 23-25","*","10","111.7","Drew Brees","72.41","2","9","1","21","0","DEN","37-303","9","9.41","","303","29","2","2016-11-13","0","3","4.50","10.45","NOR"
"0","0","L 20-23","*","21","99.3","Drew Brees","79.55","1","10","3","35","0","CAR","37-307","10","6.36","@","285","44","2","2016-11-17","0","2","0.00","6.48","NOR"
"1","1","W 49-21","*","14","139.6","Drew Brees","77.78","0","11","2","28","6","LAR","37-317","11","10.83","","310","36","1","2016-11-27","1","4","1.00","8.61","NOR"
"0","0","L 13-28","*","7","63.3","Drew Brees","70.45","3","12","1","31","0","DET","37-324","12","4.34","","326","44","0","2016-12-04","0","0","","7.41","NOR"
"0","2","L 11-16","*","9","48.5","Drew Brees","60.98","3","13","1","25","0","TAM","37-331","13","2.98","@","257","41","1","2016-12-11","0","0","2.00","6.27","NOR"
"0","-2","W 48-41","*","31","127.9","Drew Brees","77.08","0","14","3","37","0","ARI","37-338","14","9.77","@","389","48","2","2016-12-18","0","4","-1.00","8.10","NOR"
"0","1","W 31-24","*","5","104.9","Drew Brees","67.65","0","15","2","23","0","TAM","37-344","15","9.38","","299","34","4","2016-12-24","0","1","0.25","8.79","NOR"
"0","0","L 32-38","*","9","84.6","Drew Brees","58.00","1","16","2","29","0","ATL","37-352","16","6.90","@","350","50","0","2017-01-01","0","2","","7.00","NOR"
